# Title: Atlantic MDR Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
188410,-0.18
188411,-0.31
188412,-0.2
188501,-0.2
188502,-0.02
188503,-0.28
188504,-0.36
188505,-0.21
188506,-0.24
188507,-0.42
188508,-0.11
188509,-0.01
188510,0.35
188511,0.35
188512,0.18
188601,0.31
188602,0.36
188603,0.51
188604,0.56
188605,0.69
188606,0.49
188607,0.27
188608,0.12
188609,-0.18
188610,-0.07
188611,-0.18
188612,-0.18
188701,-0.36
188702,-0.35
188703,-0.38
188704,-0.27
188705,-0.1
188706,0.18
188707,0.43
188708,0.22
188709,0.06
188710,0.15
188711,0.27
188712,0.38
188801,0.25
188802,0.13
188803,0.46
188804,0.05
188805,0.02
188806,0.16
188807,0.12
188808,0.04
188809,0.07
188810,0.21
188811,0.05
188812,0.1
188901,0.39
188902,0.34
188903,0.54
188904,0.4
188905,0.24
188906,0.1
188907,-0.03
188908,-0.11
188909,-0.19
188910,-0.24
188911,-0.36
188912,-0.48
189001,-0.52
189002,-0.54
189003,-0.56
189004,-0.68
189005,-0.75
189006,-0.73
189007,-0.78
189008,-0.92
189009,-0.96
189010,-0.54
189011,-0.47
189012,-0.51
189101,-0.64
189102,-0.54
189103,-0.2
189104,-0.15
189105,-0.05
189106,0.03
189107,0.14
189108,0.22
189109,0.2
189110,0.11
189111,-0.17
189112,-0.19
189201,-0.1
189202,-0.14
189203,0
189204,-0.23
189205,-0.38
189206,-0.52
189207,-0.72
189208,-0.53
189209,-0.51
189210,-0.45
189211,-0.46
189212,-0.26
189301,-0.1
189302,-0.25
189303,-0.27
189304,-0.32
189305,-0.36
189306,-0.18
189307,0.02
189308,-0.02
189309,-0.19
189310,-0.08
189311,-0.08
189312,-0.32
189401,-0.54
189402,-0.72
189403,-0.84
189404,-0.95
189405,-0.63
189406,-0.71
189407,-0.62
189408,-0.54
189409,-0.42
189410,-0.49
189411,-0.56
189412,-0.48
189501,-0.26
189502,-0.21
189503,-0.5
189504,-0.69
189505,-0.65
189506,-0.57
189507,-0.42
189508,-0.33
189509,-0.19
189510,0.01
189511,0.06
189512,-0.03
189601,-0.08
189602,-0.03
189603,-0.07
189604,-0.1
189605,0.04
189606,0.14
189607,0.1
189608,0.22
189609,0.35
189610,0.38
189611,0.32
189612,0.29
189701,0
189702,0.03
189703,0.11
189704,0.14
189705,0.03
189706,-0.05
189707,0.05
189708,0.03
189709,0.01
189710,0.04
189711,-0.05
189712,-0.12
189801,-0.09
189802,-0.1
189803,-0.06
189804,-0.21
189805,-0.18
189806,-0.05
189807,-0.05
189808,-0.18
189809,-0.28
189810,-0.31
189811,-0.17
189812,-0.37
189901,-0.44
189902,-0.54
189903,-0.61
189904,-0.44
189905,-0.16
189906,-0.32
189907,-0.12
189908,-0.15
189909,-0.1
189910,0.11
189911,0.44
189912,0.59
190001,0.61
190002,0.4
190003,0.17
190004,0.11
190005,-0.04
190006,-0.06
190007,-0.14
190008,-0.09
190009,-0.16
190010,-0.11
190011,-0.07
190012,0.05
190101,0.05
190102,0.29
190103,0.28
190104,0.35
190105,0.32
190106,0.32
190107,0.22
190108,0.11
190109,0.15
190110,-0.03
190111,-0.12
190112,-0.14
190201,-0.11
190202,-0.13
190203,-0.19
