# Title: North America Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
188405,-0.66
188406,0
188407,-0.78
188408,-0.75
188409,-1.03
188410,-1.76
188411,-0.79
188412,-0.25
188501,-1.37
188502,-0.87
188503,-1.65
188504,-0.39
188505,-0.65
188506,-0.3
188507,-0.2
188508,-0.71
188509,-0.76
188510,-0.82
188511,0.47
188512,0.64
188601,-3.19
188602,-1.11
188603,-1.62
188604,-0.55
188605,-0.26
188606,0.07
188607,0.07
188608,-0.12
188609,-1.18
188610,-0.42
188611,-1.68
188612,-0.88
188701,-2.44
188702,-2.3
188703,-1.76
188704,-1.3
188705,0.06
188706,0.07
188707,-0.76
188708,-0.9
188709,-0.44
188710,-1.86
188711,-1.05
188712,-2.28
188801,-1.97
188802,-0.01
188803,-2.05
188804,-1.35
188805,-1.1
188806,-0.24
188807,-0.32
188808,-0.37
188809,-0.21
188810,0.04
188811,-0.36
188812,1.39
188901,1.48
188902,-0.27
188903,1.24
188904,0.84
188905,-0.4
188906,-0.37
188907,-0.39
188908,0.02
188909,-0.7
188910,-0.52
188911,-0.7
188912,0.36
189001,-0.75
189002,-0.87
189003,-0.9
189004,-1.46
189005,-1.01
189006,-0.42
189007,-0.01
189008,-0.88
189009,-0.83
189010,-0.16
189011,-0.16
189012,-0.06
189101,0.69
189102,-2.33
189103,-1.29
189104,0.46
189105,-1.06
189106,-0.14
189107,-0.36
189108,-0.13
189109,0.14
189110,-1.1
189111,-1.48
189112,0.53
189201,-0.35
189202,-0.32
189203,-0.16
189204,-0.38
189205,-1.92
189206,-0.66
189207,-0.39
189208,-0.92
189209,-0.76
189210,-0.34
189211,-2.04
189212,-0.39
189301,-1.09
189302,-1.32
189303,-1.65
189304,-1.99
189305,-0.65
189306,-0.18
189307,-0.3
189308,-0.02
189309,-0.32
189310,-1.14
189311,-1.44
189312,-1.95
189401,-2.64
189402,-3.2
189403,-0.86
189404,-1.28
189405,-0.51
189406,-0.63
189407,-0.47
189408,-0.39
189409,-0.52
189410,-0.65
189411,-1.44
189412,0.2
189501,-0.65
189502,-0.99
189503,-0.79
189504,0.62
189505,-0.47
189506,-0.33
189507,-0.37
189508,-0.57
189509,-0.65
189510,-1.43
189511,-1.59
189512,-1.17
189601,-1.75
189602,-1.48
189603,-2.13
189604,-1.25
189605,-0.76
189606,-0.42
189607,-0.57
189608,-0.17
189609,-0.81
189610,-0.83
189611,-2.42
189612,0.14
189701,-0.58
189702,-1.29
189703,-1.85
189704,-0.65
189705,-0.61
189706,-0.71
189707,-0.24
189708,-0.33
189709,-0.55
189710,-1.08
189711,-1.41
189712,-0.44
189801,-0.98
189802,-1.33
189803,-0.41
189804,0.73
189805,0.26
189806,0.01
189807,-0.59
189808,-0.12
189809,-0.32
189810,-1.7
189811,-2.97
189812,-1.53
189901,-1.57
189902,-3.68
189903,-2.65
189904,-0.81
189905,-1.05
189906,-0.54
189907,-0.41
189908,-0.47
189909,-0.59
189910,-1.06
189911,0.49
189912,-0.15
190001,0.53
190002,-1.07
190003,-0.03
190004,0.82
190005,0.55
190006,0.5
190007,-0.42
190008,-0.25
190009,-0.05
190010,0.24
190011,-1.29
190012,0.18
190101,-0.91
190102,-1.23
190103,-0.19
190104,-0.15
190105,-0.1
190106,-0.47
190107,0.19
190108,0.1
190109,-0.65
190110,0.02
190111,-0.96
190112,0.3
190201,-0.06
190202,0.33
190203,-0.91
190204,-0.06
190205,-0.18
190206,-0.71
190207,-0.13
190208,0.11
190209,-0.69
190210,0.39
190211,-0.37
190212,-1.94
190301,-0.68
190302,-1.44
190303,-0.16
190304,-0.84
190305,-0.73
190306,-0.68
190307,-0.69
190308,-0.41
190309,-0.94
190310,0
190311,-0.62
190312,-0.09
190401,-1.96
190402,-2.74
190403,-0.46
190404,-0.01
190405,0.03
190406,-0.61
190407,-0.76
190408,-0.48
190409,-0.86
190410,-0.67
190411,0.2
190412,-0.78
190501,-1.14
190502,-1.38
190503,1.06
190504,0.69
190505,-0.1
190506,-0.24
190507,-0.54
190508,0.05
190509,-0.2
190510,-1.48
190511,-0.04
190512,-1.35
190601,-0.95
190602,-0.94
190603,-1.3
190604,0
190605,0.05
190606,-0.32
190607,0.04
190608,-0.36
190609,0.1
190610,-0.35
190611,-0.34
190612,-0.81
190701,-1.68
190702,-1.82
190703,-0.82
190704,-2.63
190705,-2.36
190706,-1.16
190707,-1.01
190708,-1.03
190709,-0.92
190710,-0.72
190711,-0.59
190712,0.95
190801,0.36
190802,-0.02
190803,-0.9
190804,-0.99
190805,-0.48
190806,-0.73
190807,-0.23
190808,-0.6
190809,0.1
190810,-0.94
190811,0.08
190812,-0.46
190901,-2.05
190902,-1.4
190903,0.11
190904,-2.2
190905,-0.9
190906,-0.14
190907,-0.52
190908,-0.32
190909,-0.47
190910,-0.73
190911,-0.25
190912,-1.27
191001,0.04
191002,-3.12
191003,1.58
191004,0.11
191005,-0.73
191006,-0.35
191007,-0.3
191008,-0.55
191009,-0.56
191010,0.18
191011,0.35
191012,-0.81
191101,-1.91
191102,-0.72
191103,-0.4
191104,-0.29
191105,0.03
191106,0.31
191107,-0.54
191108,-0.8
191109,-0.14
191110,0.33
191111,-1.92
191112,-0.04
191201,-2.01
191202,-0.25
191203,-2.02
191204,-0.55
191205,0.07
191206,-0.53
191207,-1.27
191208,-1.09
191209,-0.58
191210,0.03
191211,0.49
191212,-0.16
191301,-1.85
191302,-1.15
191303,-1.89
191304,-0.05
191305,-0.86
191306,-0.38
191307,-0.97
191308,-0.39
191309,-0.92
191310,-1.62
191311,-0.13
191312,0.01
191401,0.15
191402,-2.66
191403,-0.74
191404,-0.78
191405,-0.31
191406,-0.46
191407,-0.55
191408,-0.57
191409,-0.25
191410,0.74
191411,-0.07
191412,-1.07
191501,0.27
191502,0.75
191503,-0.39
191504,1.7
191505,0.03
191506,-0.79
191507,-0.71
191508,-0.14
191509,-0.2
191510,0.38
191511,0.91
191512,1.01
191601,-1.52
191602,-0.73
191603,-0.56
191604,-0.03
191605,0.17
191606,-0.42
191607,-0.16
191608,-0.25
191609,-0.34
191610,-0.29
191611,-0.51
191612,-1.57
191701,-1.12
191702,-1.63
191703,-0.67
191704,-1.39
191705,-1.97
191706,-0.92
191707,0
191708,-0.47
191709,-0.06
191710,-1.79
191711,0.44
191712,-4.23
191801,-2.19
191802,-2.03
191803,-0.48
191804,-1.58
191805,-1.22
191806,-0.92
191807,-0.99
191808,-0.68
191809,-0.68
191810,-0.12
191811,-0.61
191812,0.28
191901,1.38
191902,-0.6
191903,-1.24
191904,-0.33
191905,0.19
191906,-0.23
191907,0.04
191908,0.14
191909,0.02
191910,-1.5
191911,-0.86
191912,-0.86
192001,-1.27
192002,1.03
192003,-1.16
192004,-1.98
192005,-0.79
192006,-0.55
192007,-0.57
192008,-0.55
192009,-0.12
192010,0.09
192011,-0.73
192012,0.05
192101,0.04
192102,-0.07
192103,-0.3
192104,-0.48
192105,0.04
192106,0.46
192107,0.19
192108,-0.52
192109,-0.06
192110,0.14
192111,-0.43
192112,0.57
192201,0.02
192202,-2.06
192203,-0.99
192204,-0.32
192205,-0.2
192206,-0.72
192207,-0.95
192208,-0.21
192209,0.17
192210,-0.34
192211,0.22
192212,-0.72
192301,-0.56
192302,-1.16
192303,-2.54
192304,-0.47
192305,-0.13
192306,0.17
192307,-0.14
192308,-0.56
192309,-0.15
192310,0.12
192311,1.2
192312,0.54
192401,-1.03
192402,0.2
192403,0.69
192404,-0.78
192405,-0.31
192406,-0.11
192407,-0.57
192408,-0.02
192409,-0.67
192410,0.31
192411,0.07
192412,-2.23
192501,-2.33
192502,-0.2
192503,0.11
192504,0.9
192505,-0.11
192506,0.1
192507,-0.19
192508,-0.19
192509,0.08
192510,-1.67
192511,-0.2
192512,1.03
192601,1.29
192602,1.24
192603,-0.06
192604,-0.11
192605,0.15
192606,-0.25
192607,-0.36
192608,-0.18
192609,-0.65
192610,0.87
192611,-0.45
192612,-0.8
192701,0.58
192702,0.79
192703,0.31
192704,-0.52
192705,-0.6
192706,-0.41
192707,-0.31
192708,-0.64
192709,0.23
192710,0.54
192711,-0.88
192712,-1.89
192801,1.28
192802,1.04
192803,0.61
192804,-1.42
192805,0.44
192806,-0.26
192807,0
192808,-0.39
192809,-0.1
192810,0.22
192811,1.02
192812,1.77
192901,0.15
192902,-0.77
192903,0.15
192904,-0.2
192905,-0.89
192906,-0.52
192907,-0.38
192908,0.19
192909,-0.4
192910,0.45
192911,-0.86
192912,-0.83
193001,-1.57
193002,0.72
193003,-0.08
193004,0.8
193005,-0.21
193006,0.26
193007,0.32
193008,0.46
193009,0.28
193010,-0.58
193011,0.45
193012,1.3
193101,2.16
193102,2.36
193103,-0.68
193104,0.3
193105,-0.33
193106,0.76
193107,0.66
193108,0.02
193109,1.14
193110,1.06
193111,1
193112,0.86
193201,0.06
193202,-0.56
193203,-0.84
193204,0.33
193205,0.73
193206,0.45
193207,-0.06
193208,0.68
193209,0.28
193210,-0.56
193211,-1.29
193212,-1.16
193301,0.44
193302,-1.53
193303,0.21
193304,-0.23
193305,-0.04
193306,0.17
193307,0.13
193308,0.15
193309,0.33
193310,-0.39
193311,-0.59
193312,-2.07
193401,0.22
193402,0.18
193403,-0.27
193404,0.89
193405,0.64
193406,0.17
193407,0.37
193408,-0.2
193409,-0.59
193410,0.59
193411,0.97
193412,0.16
193501,-1.09
193502,1.02
193503,-0.31
193504,-0.4
193505,-0.86
193506,-0.2
193507,0.55
193508,0.03
193509,-0.01
193510,-0.53
193511,-1.29
193512,-0.11
193601,-1.18
193602,-3.7
193603,0.47
193604,-0.44
193605,0.4
193606,0.4
193607,1
193608,0.51
193609,0.06
193610,-0.66
193611,-0.54
193612,-0.8
193701,-0.8
193702,-0.58
193703,0.22
193704,0.14
193705,0.62
193706,0.55
193707,0.41
193708,0.33
193709,0.51
193710,0.3
193711,0.28
193712,-0.51
193801,0.31
193802,-0.25
193803,1
193804,-0.06
193805,0.28
193806,0.22
193807,0.17
193808,0.2
193809,1.23
193810,1.45
193811,-0.16
193812,1.53
193901,1.6
193902,-2.47
193903,-0.85
193904,0.57
193905,0.72
193906,-0.06
193907,0.34
